x,y,x_g,y_g,wall_top,wall_bot,wall_left,wall_right,bomb_top,bomb_bot,bomb_left,bomb_right,near_top,near_bot,near_left,near_right,action
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,7,16,2,True,False,False,False,False,False,False,True,False,True,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
17,8,16,2,False,True,False,False,False,False,False,False,True,False,True,False,left
17,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
18,7,16,2,False,False,False,True,False,False,False,False,True,False,True,False,left
19,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
18,7,16,2,False,False,False,True,False,False,False,False,True,False,True,False,left
17,7,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
16,7,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,6,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,6,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
18,6,16,2,False,False,True,False,False,False,False,False,True,False,True,False,up
17,6,16,2,False,False,False,False,False,False,False,False,True,False,True,False,left
16,6,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
15,4,16,2,False,False,False,False,False,False,False,False,False,True,True,False,down
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,4,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,5,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
16,4,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
17,4,16,2,False,False,False,False,False,False,False,False,True,False,True,False,up
17,3,16,2,False,False,False,False,False,True,True,False,True,False,True,False,up
16,3,16,2,False,False,False,False,False,False,False,False,False,False,True,False,left
5,17,16,2,False,False,False,False,False,False,True,False,False,True,True,False,up
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
3,17,16,2,False,False,False,False,False,False,False,True,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
4,16,16,2,False,False,False,False,False,True,False,False,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
4,18,16,2,False,False,False,False,True,False,False,False,False,True,True,False,left
4,17,16,2,False,False,False,False,False,False,False,False,False,True,True,False,left
5,17,16,2,False,False,False,False,False,False,True,False,False,True,True,False,up
